Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,305200,344500,312600,355200,218600,201000
Feb 2005,100.8,101.2,101.3,101.1,100.4,99.9,307600,348600,316700,359100,219500,200800
Mar 2005,101.8,102.2,101.8,102.4,101.3,100.7,310700,352100,318200,363700,221400,202400
Apr 2005,102.7,103.2,103.1,103.2,101.9,101.4,313400,355500,322300,366600,222800,203800
May 2005,103.4,103.9,104.2,103.8,102.6,101.9,315600,357900,325700,368700,224300,204800
Jun 2005,104,104.5,104.5,104.5,103.4,102.3,317400,360000,326700,371200,226000,205600
Jul 2005,104,104.5,104.4,104.5,103.7,102.5,317400,360000,326400,371200,226700,206000
Aug 2005,104.1,104.6,104.9,104.5,103.9,102.7,317700,360300,327900,371200,227100,206400
Sep 2005,104.6,105,105.4,104.9,104.2,103.2,319200,361700,329500,372600,227800,207400
Oct 2005,104.9,105.4,105.4,105.4,104.5,103.4,320200,363100,329500,374400,228400,207800
Nov 2005,105.1,105.7,105.6,105.8,104.6,103.2,320800,364100,330100,375800,228700,207400
Dec 2005,105.2,105.5,105.5,105.4,105.3,104.1,321100,363400,329800,374400,230200,209200
Jan 2006,105.7,106.2,106,106.3,105.3,104.2,322600,365900,331400,377600,230200,209400
Feb 2006,106.7,107.2,107.2,107.3,105.4,105.3,325600,369300,335100,381100,230400,211700
Mar 2006,107.8,108.5,108.8,108.4,106.7,105.8,329000,373800,340100,385000,233200,212700
Apr 2006,108.7,109.5,109.3,109.5,107.2,106.6,331800,377200,341700,388900,234300,214300
May 2006,109.3,110.2,110.6,110,107.8,106.9,333600,379600,345700,390700,235700,214900
Jun 2006,109.3,110.1,110.8,109.8,108.3,106.9,333600,379300,346400,390000,236700,214900
Jul 2006,109.3,109.9,110.6,109.7,108.6,107.1,333600,378600,345700,389700,237400,215300
Aug 2006,109,109.6,110.1,109.5,108.9,106.9,332700,377600,344200,388900,238100,214900
Sep 2006,109.2,109.7,109.7,109.6,108.9,107.7,333300,377900,342900,389300,238100,216500
Oct 2006,109.2,109.7,109.9,109.6,108.9,107.6,333300,377900,343500,389300,238100,216300
Nov 2006,109.1,109.4,109.7,109.3,109,108.3,333000,376900,342900,388200,238300,217700
Dec 2006,108.7,109.1,109.4,109,109.2,107.2,331800,375800,342000,387200,238700,215500
Jan 2007,109.2,109.6,109.4,109.6,109,108,333300,377600,342000,389300,238300,217100
Feb 2007,110.7,111.3,111,111.3,110.6,108.9,337900,383400,347000,395300,241800,218900
Mar 2007,111.9,112.6,112.3,112.7,110.8,110,341500,387900,351000,400300,242200,221100
Apr 2007,113.1,113.8,114.2,113.7,111.5,111.5,345200,392000,357000,403900,243700,224100
May 2007,114.2,114.9,115.2,114.7,112.4,112.7,348500,395800,360100,407400,245700,226500
Jun 2007,115.2,116,116.3,115.9,113.7,113.3,351600,399600,363600,411700,248500,227700
Jul 2007,115.7,116.3,116.7,116.1,114.2,114.3,353100,400700,364800,412400,249600,229700
Aug 2007,116.1,116.5,116.8,116.4,114.5,115.1,354300,401300,365100,413500,250300,231400
Sep 2007,116.6,117.1,117.4,117.1,114.8,115.6,355900,403400,367000,415900,251000,232400
